auc,auprc,brier,ece,et_dice,tc_dice,wt_dice,et_iou,tc_iou,wt_iou,wt_hd95,dice,iou,hd95,epoch,loss
0.5203491543917076,0.22665044433385723,0.1633517082435822,0.08328568935394287,0.23787042392014396,0.40971658639274566,0.6711936162617339,0.14689218549138205,0.28110961569483506,0.5355077930017318,0.0,0.24692533835744368,0.16681516071818236,0.0,1,0.7341549257067173
0.5372613202400436,0.2188732319736262,0.15643457227430008,0.00825251256378317,0.3545900252640388,0.43608474666043034,0.7106710221258133,0.24244598775277357,0.3048635789182966,0.5819319884640898,0.0,0.20366946839283032,0.13532791190098137,0.0,2,0.6786752559753678
0.5481723949809056,0.2327269077912044,0.15709510484990774,0.02819599211215973,0.4926186172447282,0.5676387576651258,0.7849281273161254,0.3693127978941023,0.43234319203759625,0.6664094097538644,0.0,0.21489971379767453,0.14680180481129862,0.0,3,0.5957737700477643
0.5247681396617567,0.22681722203585902,0.15706612869158385,0.02705247700214386,0.5591313808676247,0.6612007270395485,0.8123675618324906,0.4336380325434781,0.5318894991079572,0.7016433875487939,0.0,0.44118384153016066,0.3231807149337583,0.0,4,0.5128796815286019
0.541189307146754,0.24493432568304288,0.15667548829219638,0.022402584552764893,0.6012299612455525,0.7125660000559481,0.8223165393464118,0.47852681205063075,0.5909942266038993,0.7135857898175708,4.289861887262925,0.43959539394446084,0.336689475115755,36.50898100019092,5,0.4542419671642114
0.5586470267321331,0.25399762591229225,0.15653852471728696,0.01879347860813141,0.6018571244266021,0.72002228913268,0.8407463882964453,0.46945168210998245,0.5959638435923613,0.7400831008819703,0.0,0.40585930016618865,0.3218411278688337,0.0,6,0.4200223702975929
0.5488270594653574,0.2265355643112016,0.1568631923160017,0.025600507855415344,0.6388320627596544,0.7328131860389845,0.8128771833122019,0.5204946405079188,0.6241003083841542,0.7064481052464825,0.0,0.51121295302783,0.4066491873280902,0.0,7,0.40083900785100635
0.5619203491543917,0.23855485206088595,0.1567343485497358,0.02602820098400116,0.6553486542864755,0.7636287562383235,0.8487140545669813,0.5367989760227121,0.6528591797474952,0.7521570059471446,0.0,0.4922447119046181,0.39287058863245905,0.0,8,0.3893403707546477
0.5930169121658483,0.23544072909603558,0.1568428611640297,0.02686077356338501,0.665959260641692,0.7768992255766729,0.8530723413198057,0.548188091692602,0.6698128838600335,0.7581521838358699,0.0,0.5060325234705968,0.39986795902326655,0.0,9,0.37645426944021604
0.5817785051827605,0.24008240149382754,0.15694809280291955,0.032630711793899536,0.6514472884692377,0.7712522071796759,0.8469705176580913,0.5327140367311596,0.6625960866391173,0.7485268140402003,3.9309095137298438,0.501723274007207,0.4041649859080706,35.85835884472688,10,0.3696386282781513
0.5605019094380796,0.24332726126544735,0.1563484746343743,0.028634163625768892,0.6770695646439339,0.7771048408484007,0.8479601288579052,0.558883697661847,0.672067944042735,0.7503364276034921,0.0,0.5213014284471369,0.42107058057056723,0.0,11,0.3604145499088996
0.5755591925804693,0.24303677143248514,0.1611710072230269,0.07619726873194865,0.6727306384472975,0.7602314435130609,0.8480926930166517,0.5548349325454647,0.6562840569165322,0.7499911781204015,0.0,0.5199465666316216,0.4126331205168412,0.0,12,0.357092322970646
0.575013638843426,0.2465526025209628,0.15506412547549933,0.036969413905066695,0.6605918219662965,0.7760869662983159,0.8518744989543442,0.5417768543921847,0.6681896436184529,0.7558933553833763,0.0,0.5180498116888149,0.410645025674429,0.0,13,0.351903680148949
0.5708674304418986,0.2608530571005545,0.1564146498779221,0.037483060605159046,0.6721457908211677,0.7813603873934728,0.8532722395703094,0.5541908747077229,0.6776206726442549,0.7580202909743163,0.0,0.5080723282774768,0.4036631879342255,0.0,14,0.34319343355409104
0.5933442444080742,0.26685495980150964,0.15485343350964956,0.011427180565567019,0.6707742776948511,0.7809372377864922,0.8530842493133446,0.5580520716480484,0.677400782503139,0.7588410854226195,2.6266328544907576,0.4997912212785492,0.40195430727235804,33.4752091453698,15,0.34027878991010024
0.6054555373704309,0.3113980966492612,0.15345210248295013,0.019432291507230248,0.6693020141776659,0.7734742775821251,0.8537420426046805,0.5515955587656826,0.6664891831706479,0.7595418187516281,0.0,0.4879637315235889,0.39431904598877876,0.0,16,0.33486133937263096
0.6164757228587016,0.30486066555710134,0.16409374717059846,0.11880372305050169,0.6744191057446298,0.7890054624738461,0.8572715606617521,0.5565908113432114,0.6865599007438437,0.7648517134427515,0.0,0.4879618871076954,0.38887659880796854,0.0,17,0.32998430182844957
0.5929078014184397,0.2680181503011856,0.1536167780405508,0.021896730657671955,0.6606111736444088,0.790065538193218,0.8588342541700955,0.5449080960066589,0.6839284753210962,0.7664700533520746,0.0,0.49058902680044303,0.39772419117594027,0.0,18,0.32624658265808604
0.6156028368794326,0.2748727846207031,0.15458310222611282,0.04464921840406033,0.6877778623153473,0.7888911415298996,0.8528330350877269,0.5716319383046383,0.6859294837878701,0.7583978380263947,0.0,0.5128184887076265,0.40709692480539056,0.0,19,0.3217411515829356
0.6345881069285325,0.3233373681261138,0.15244049052612102,0.04904193891557074,0.6726700834610881,0.7851599165254672,0.8579689731387301,0.5572499536344793,0.6807847464526975,0.7653631469843547,2.294684255225762,0.4987212297353459,0.3964046113498295,37.50494327187235,20,0.3142608816563836
0.6575013638843425,0.30098568764230815,0.15047963711520912,0.04879208530793269,0.6704142498911715,0.7922288427622317,0.8606955049127745,0.5549691786957127,0.6887403522793213,0.7687839700233393,0.0,0.5164783078253704,0.41544196118473375,0.0,21,0.3090046190388701
0.6447354064375341,0.3227713027840358,0.15093304559742537,0.04443687225642923,0.6754799114110394,0.8006631266913249,0.854403186303651,0.5607560215927018,0.6973472615255224,0.7617432246541999,0.0,0.4896762710110488,0.38961480707511775,0.0,22,0.3067903119307127
0.6593562465902891,0.3319279350563957,0.14914621232667089,0.028101824795121855,0.664460158634299,0.7928363181376952,0.8612654148770649,0.5486817277582131,0.6878467528740506,0.7705361613690789,0.0,0.5204710782002732,0.4186813487750316,0.0,23,0.3018935084782587
0.6699399890889254,0.33303717647275405,0.15997040768932178,0.097388221535855,0.6696281193318849,0.7870850626364801,0.8595420754629198,0.5533391115866525,0.6820185669380191,0.7680714364927802,0.0,0.5182907341646589,0.4161168605060099,0.0,24,0.29497433711792004
0.669721767594108,0.3213582330755114,0.14974730059365943,0.03891642331618339,0.6725826259317917,0.793060998593442,0.8594252979857013,0.5567749692191327,0.690035406383514,0.7679375402801965,2.277975875808465,0.503841290409176,0.4051810788715871,35.50232298587245,25,0.29043988172373664
0.6906710310965629,0.33531315781729343,0.14843384173409682,0.03901224853757643,0.6744499057146244,0.7950873361258387,0.8591475560404198,0.559335157883773,0.692931020653982,0.767431432445006,0.0,0.4927287804555286,0.3981514017110973,0.0,26,0.2866435447865885
0.6690671031096562,0.3218016744475798,0.15002820496209204,0.04902822602438492,0.6696909507795316,0.7897893502363924,0.8610523962530902,0.5548431155873854,0.6868352413005099,0.7701566315934759,0.0,0.5132098370454243,0.41176732189984877,0.0,27,0.28186647584334046
0.696999454446263,0.3387293511529461,0.15506923504505296,0.0754289910132048,0.6763589601995689,0.7973807916447728,0.8630352092271724,0.5613756198784873,0.6943563318028546,0.7732157194110759,0.0,0.5085644122085459,0.41010222525273393,0.0,28,0.2727552902369951
0.701036552100382,0.35500304892164264,0.14764049560958967,0.07111995501356935,0.6701109453111597,0.7974491884382591,0.8621423678733937,0.5541477754026322,0.6931504282922899,0.7718115233905934,0.0,0.5051115527980022,0.4075559971293242,0.0,29,0.2722080958424826
0.7082378614293507,0.34802137910388253,0.14705601340120497,0.05068217897160604,0.6762938484339142,0.7992858392215881,0.8640447267761999,0.5610029008691686,0.69541072099688,0.7750424263203788,2.430315444365194,0.5149540082256209,0.41392065588317484,32.109924985888526,30,0.2690192728108624
